City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
234,Lasa,IT,46.6166,10.7002,63.48,84,27,6.33,scattered clouds
235,Luderitz,NA,-26.6481,15.1594,54.16,63,57,21.77,broken clouds
236,Touros,BR,-5.1989,-35.4608,74.79,90,100,10.07,light rain
237,San Policarpo,PH,12.1791,125.5072,80.19,84,100,7.07,overcast clouds
238,Deoli,IN,25.75,75.3833,81.19,68,100,11.3,overcast clouds
239,Luwuk,ID,-0.9516,122.7875,75.27,92,94,4.07,overcast clouds
240,Pindi Gheb,PK,33.2402,72.2661,86.94,66,100,10.85,overcast clouds
241,Topolobampo,MX,25.6,-109.05,90.32,55,93,11.21,overcast clouds
242,Kimbe,PG,-5.5502,150.1429,80.11,77,58,3.89,broken clouds
243,Iracoubo,GF,5.4802,-53.2011,78.94,83,12,7.36,few clouds
244,Ilulissat,GL,69.2167,-51.1,42.57,95,100,7.54,light rain
245,Heilbron,ZA,-27.2812,27.9709,52.43,45,86,5.99,overcast clouds
246,Kundiawa,PG,-6.0167,144.9667,64.09,87,96,0.78,overcast clouds
247,College,US,64.8569,-147.8028,76.59,40,20,0.0,few clouds
248,Bage,BR,-31.3314,-54.1069,56.98,67,0,4.61,clear sky
249,Sale,MA,34.0389,-6.8166,75.88,78,0,4.61,clear sky
250,Fairbanks,US,64.8378,-147.7164,76.6,39,20,3.44,few clouds
251,Galveston,US,29.3669,-94.9669,95.09,67,100,5.01,overcast clouds
252,Hovd,MN,48.0056,91.6419,65.55,39,80,5.44,broken clouds
253,Morant Bay,JM,17.8815,-76.4093,90.72,71,9,10.8,clear sky
254,Lorengau,PG,-2.0226,147.2712,82.38,70,81,6.58,broken clouds
255,Ugoofaaru,MV,5.6667,73.0,78.58,85,100,19.08,light rain
256,Dutlwe,BW,-23.9833,23.9,56.98,29,79,9.48,broken clouds
257,Duliagaon,IN,27.3667,95.3167,75.27,98,99,3.22,overcast clouds
258,Palmer,US,42.1584,-72.3287,83.77,48,5,3.0,clear sky
259,Singapore,SG,1.2897,103.8501,82.35,83,75,10.36,broken clouds
260,Gamba,GA,-2.65,10.0,69.66,92,16,3.87,few clouds
261,Cap Malheureux,MU,-19.9842,57.6142,70.47,61,41,8.99,scattered clouds
262,Pizarro,CO,4.9533,-77.366,79.86,85,100,8.95,light rain
263,Den Helder,NL,52.9599,4.7593,69.03,71,100,8.05,overcast clouds
264,Lerwick,GB,60.1545,-1.1494,53.6,76,27,13.82,scattered clouds
265,Mangan,IN,27.5167,88.5333,75.69,94,100,1.54,overcast clouds
266,Brownsville,US,25.9018,-97.4975,96.75,52,0,14.97,clear sky
267,Laguna,US,38.421,-121.4238,97.09,42,0,9.22,clear sky
268,Totma,RU,59.9747,42.7642,52.65,96,5,3.06,clear sky
269,Byron Bay,AU,-28.65,153.6167,51.94,70,100,1.68,overcast clouds
270,Rio Grande,BR,-32.035,-52.0986,55.51,72,0,5.23,clear sky
271,Palu,ID,-0.8917,119.8707,75.6,95,100,1.99,moderate rain
272,Victoria,HK,22.2855,114.1577,85.32,88,40,3.0,scattered clouds
273,Vangaindrano,MG,-23.35,47.6,64.08,94,16,4.03,few clouds
274,Lac Du Bonnet,CA,50.2536,-96.0612,83.82,43,24,8.37,few clouds
275,Quatre Cocos,MU,-20.2078,57.7625,70.09,72,50,17.67,scattered clouds
276,Suntar,RU,62.1444,117.6319,64.45,86,27,2.24,scattered clouds
277,Elat,IL,29.5581,34.9482,91.24,27,0,16.11,clear sky
278,Ixtapa,MX,20.7,-105.2,90.23,52,98,7.0,overcast clouds
279,Karauli,IN,26.5,77.0167,84.88,69,100,8.37,overcast clouds
280,Awjilah,LY,29.1081,21.2869,83.34,48,0,15.73,clear sky
281,Labuhan,ID,-6.8844,112.2051,74.21,86,52,8.57,broken clouds
282,Hwange,ZW,-18.3693,26.5019,58.86,38,0,1.28,clear sky
283,Port Hedland,AU,-20.3167,118.5667,62.65,59,23,6.91,few clouds
284,Ust-Omchug,RU,61.15,149.6333,52.29,80,100,5.57,light rain
285,Dire,ML,12.2833,-10.9667,73.76,92,82,1.19,broken clouds
286,Georgetown,MY,5.4112,100.3354,80.53,92,20,2.3,few clouds
287,Inhambane,MZ,-23.865,35.3833,66.07,78,1,7.67,clear sky
288,Arona,ES,28.0996,-16.681,77.9,63,0,9.22,clear sky
289,Sovetskaya Gavan,RU,48.9723,140.2878,61.34,95,91,8.05,overcast clouds
290,Papar,MY,5.7333,115.9333,77.0,84,99,3.47,overcast clouds
291,Tessalit,ML,20.1986,1.0114,87.22,37,62,8.84,light rain
292,Codrington,AU,-38.2667,141.9667,52.41,54,100,20.74,overcast clouds
293,Launceston,AU,-41.45,147.1667,48.79,82,40,10.36,light rain
294,Arbazh,RU,57.6804,48.3065,61.3,92,99,1.81,overcast clouds
295,Otofuke,JP,42.9917,143.2003,74.88,82,28,8.97,scattered clouds
296,Biltine,TD,14.5333,20.9167,82.96,58,98,2.13,light rain
297,Mayo,US,38.8876,-76.5119,90.95,52,95,4.0,overcast clouds
298,Sorong,ID,-0.8833,131.25,77.14,89,95,8.12,overcast clouds
299,Chkalovsk,RU,56.7647,43.2433,59.79,68,3,7.65,clear sky
300,Nalut,LY,30.3333,10.85,85.24,17,0,9.46,clear sky
301,Kichera,RU,55.9375,110.0997,55.58,95,100,1.79,overcast clouds
302,Mochalishche,RU,56.3306,48.3547,60.89,84,49,1.39,scattered clouds
303,Kapan,AM,39.2075,46.4058,70.36,70,82,2.17,broken clouds
304,Irbeyskoye,RU,55.6428,95.4522,60.58,96,92,8.23,overcast clouds
305,Ulcinj,ME,41.9294,19.2244,80.82,76,13,7.96,few clouds
306,Jizan,SA,17.3333,42.6667,90.54,58,73,1.59,broken clouds
307,Chantada,ES,42.6088,-7.7712,64.54,97,2,5.14,clear sky
308,Berlevag,NO,70.8578,29.0864,50.0,93,100,17.27,overcast clouds
309,Isangel,VU,-19.55,169.2667,73.51,88,100,2.3,overcast clouds
310,Kailua,US,21.4022,-157.7394,86.14,74,8,5.99,clear sky
311,Shimoda,JP,34.6667,138.95,85.1,83,4,11.63,clear sky
312,Tilichiki,RU,60.4667,166.1,50.29,91,100,6.49,light rain
313,Sungaipenuh,ID,-2.0833,101.3833,63.59,88,99,1.61,overcast clouds
314,Eenhana,NA,-17.4667,16.3333,60.1,28,2,4.74,clear sky
315,Amberley,US,39.2048,-84.428,84.11,47,97,3.0,overcast clouds
316,Varhaug,NO,58.6147,5.6457,60.78,83,100,12.88,overcast clouds
317,Gumdag,TM,39.2061,54.5906,81.37,56,0,9.44,clear sky
318,Leh,IN,34.1667,77.5833,62.71,56,42,6.6,scattered clouds
319,Brookings,US,44.3114,-96.7984,84.54,19,0,15.73,clear sky
320,San Quintin,MX,30.4833,-115.95,74.3,61,10,8.97,clear sky
321,Vaike-Maarja,EE,59.1264,26.25,51.1,96,18,5.39,few clouds
322,Abadan,IR,30.3392,48.3043,89.55,62,40,4.61,dust
323,Golden,US,39.7555,-105.2211,92.98,21,40,9.22,scattered clouds
324,Alipur Chatha,PK,32.2688,73.819,79.59,89,85,6.24,overcast clouds
325,Bonthe,SL,7.5264,-12.505,75.85,76,79,6.96,broken clouds
326,Sinnamary,GF,5.3833,-52.95,79.23,82,19,7.25,few clouds
327,Petukhovo,RU,55.0692,67.9019,59.16,91,62,7.7,broken clouds
328,Mitsamiouli,KM,-11.3847,43.2844,75.42,76,0,5.7,clear sky
329,Ketchikan,US,55.3422,-131.6461,67.8,82,95,2.98,overcast clouds
330,Torbay,CA,47.6666,-52.7314,70.57,90,100,12.66,overcast clouds
331,Kavieng,PG,-2.5744,150.7967,83.08,72,93,14.45,overcast clouds
332,Opotiki,NZ,-38.0833,177.2833,52.39,75,61,10.47,broken clouds
333,Jacareacanga,BR,-6.2222,-57.7528,85.1,41,89,1.07,overcast clouds
334,Mbuji-Mayi,CD,-6.15,23.6,76.37,48,35,1.83,scattered clouds
335,Limbang,MY,4.75,115.0,78.06,93,100,2.06,overcast clouds
336,Clyde River,CA,70.4692,-68.5914,39.43,100,100,12.66,light rain
337,Turukhansk,RU,65.8167,87.9833,49.37,72,69,16.6,broken clouds
338,Flinders,AU,-34.5833,150.8552,53.38,70,87,6.85,overcast clouds
339,Avera,US,33.194,-82.5271,76.51,53,99,7.09,overcast clouds
340,Kargasok,RU,59.0556,80.8572,62.35,87,100,7.14,overcast clouds
341,Veracruz,MX,19.3333,-96.6667,79.75,76,53,6.2,broken clouds
342,Ayagoz,KZ,47.9714,80.4392,62.47,40,26,7.18,scattered clouds
343,Bardiyah,LY,31.7561,25.0865,78.15,75,0,16.69,clear sky
344,Chuy,UY,-33.6971,-53.4616,50.25,77,1,3.58,clear sky
345,Basco,PH,20.4487,121.9702,85.12,77,100,20.6,overcast clouds
